Time,HMDP.x,HMDP.y,HMDP.z,HMDR_Q.x,HMDR_Q.y,HMDR_Q.z,HMDR_Q.w,LeftHandP.x,LeftHandP.y,LeftHandP.z,LeftHandR_Q.x,LeftHandR_Q.y,LeftHandR_Q.z,LeftHandR_Q.w,RightHandP.x,RightHandP.y,RightHandP.z,RightHandR_Q.x,RightHandR_Q.y,RightHandR_Q.z,RightHandR_Q.w,TriggerPull
0.5860578,0.2346847,1.184695,-0.1079974,-0.06783294,0.09624022,-0.02430344,-0.9927467,0.131557,0.8601042,0.1226258,0.3573123,-0.1721124,0.5348284,-0.7460992,0.3198254,0.9244369,0.2342229,0.2895665,0.1122193,-0.451892,-0.8362727,0
0.597141,0.2347813,1.184401,-0.1080228,-0.06919091,0.09638835,-0.02431269,-0.9926384,0.1306447,0.8651975,0.1226147,0.3637878,-0.169848,0.535907,-0.7427071,0.3204242,0.9285173,0.2337196,0.2929836,0.1108994,-0.4501506,-0.8361976,0
0.6086463,0.2348746,1.184212,-0.1080822,-0.07039788,0.09679973,-0.0242626,-0.9925146,0.1299274,0.8702995,0.1225637,0.370414,-0.1667652,0.5388459,-0.7379891,0.3209419,0.9319074,0.2328731,0.2971811,0.1080689,-0.4503482,-0.8349798,0
0.6202554,0.2349715,1.183997,-0.1081828,-0.07184043,0.09719468,-0.02405531,-0.9923777,0.1289365,0.8756754,0.1229519,0.3795079,-0.1622417,0.5433442,-0.7310461,0.3218946,0.9357634,0.2324457,0.2998472,0.1060883,-0.4486723,-0.8351827,0
0.63208,0.2349989,1.183683,-0.1083317,-0.07331288,0.09762648,-0.02352073,-0.9922404,0.1283585,0.8804822,0.1231005,0.3898564,-0.1586747,0.5524348,-0.7194791,0.3226337,0.9390463,0.2320298,0.3039308,0.1032737,-0.4541756,-0.8310747,0
0.643545,0.2349042,1.183303,-0.1085415,-0.07525109,0.09829862,-0.02274412,-0.9920471,0.1285402,0.8851941,0.1232464,0.4037978,-0.152403,0.5688426,-0.7000991,0.3228126,0.9425017,0.2315249,0.3093928,0.09714333,-0.463844,-0.824432,0
0.655117,0.2347544,1.182985,-0.1087524,-0.07664371,0.09934356,-0.02219118,-0.9918489,0.1289464,0.8897122,0.1230773,0.4186614,-0.1452394,0.5829931,-0.6809899,0.3231171,0.9463357,0.231288,0.3161214,0.09290387,-0.470903,-0.8183439,0
0.66671,0.234539,1.182695,-0.1089702,-0.07768395,0.1007048,-0.02209214,-0.9916328,0.1292725,0.8950264,0.1227092,0.4347152,-0.1398071,0.5900875,-0.6657878,0.3228115,0.9505381,0.230595,0.323207,0.09108576,-0.4704446,-0.8160409,0
0.6784363,0.2340831,1.182568,-0.1091062,-0.07820871,0.1024866,-0.02196776,-0.9914119,0.1295508,0.9008836,0.1222497,0.4516629,-0.137454,0.5898801,-0.6550943,0.3222804,0.9546237,0.2300193,0.3309014,0.09251723,-0.4708109,-0.8125774,0
0.690003,0.2334558,1.182541,-0.1092052,-0.07843612,0.1054371,-0.02216224,-0.99108,0.1299011,0.9074016,0.1219438,0.4676833,-0.1353017,0.5839768,-0.6495668,0.3211287,0.9589561,0.2288657,0.3402488,0.09219892,-0.4760495,-0.8056719,0
